cell_id,name_expansion,lineage,classification,source_ref
ADAL,Anterior Process from Deirid Commissure A Left,AB plapaaaapp,Ring interneuron,wormatlas_cook_2019_via_cect
ADAR,Anterior Process from Deirid Commissure A Right,AB prapaaaapp,Ring interneuron,wormatlas_cook_2019_via_cect
ADEL,Anterior DEirid Neuron Left,AB plapaaaapa,"Anterior deirid, sensory neuron",wormatlas_cook_2019_via_cect
ADER,Anterior DEirid Neuron Right,AB prapaaaapa,"Anterior deirid, sensory neuron",wormatlas_cook_2019_via_cect
ADFL,Amphid Dual Ciliated Ending F Left,AB alpppppaa,Amphid neuron,wormatlas_cook_2019_via_cect
ADFR,Amphid Dual Ciliated Ending F Right,AB praaappaa,Amphid neuron,wormatlas_cook_2019_via_cect
ADLL,Amphid Dual Ciliated Ending L Left,AB alppppaad,Amphid neuron,wormatlas_cook_2019_via_cect
ADLR,Amphid Dual Ciliated Ending L Right,AB praaapaad,Amphid neuron,wormatlas_cook_2019_via_cect
AFDL,Amphid Finger-like Endings D Left,AB alpppapav,Amphid finger cell,wormatlas_cook_2019_via_cect
AFDR,Amphid Finger-like Endings D Right,AB praaaapav,Amphid finger cell,wormatlas_cook_2019_via_cect
AIAL,Anterior Interneuron A Left,AB plppaappa,Amphid interneuron,wormatlas_cook_2019_via_cect
AIAR,Anterior Interneuron A Right,AB prppaappa,Amphid interneuron,wormatlas_cook_2019_via_cect
AIBL,Anterior Interneuron B Left,AB plaapappa,Amphid interneuron,wormatlas_cook_2019_via_cect
AIBR,Anterior Interneuron B Right,AB praapappa,Amphid interneuron,wormatlas_cook_2019_via_cect
AIML,Anterior Interneuron M Left,AB plpaapppa,Ring interneuron,wormatlas_cook_2019_via_cect
AIMR,Anterior Interneuron M Right,AB prpaapppa,Ring interneuron,wormatlas_cook_2019_via_cect
AINL,Anterior Interneuron N Left,AB alaaaalal,Ring interneuron,wormatlas_cook_2019_via_cect
AINR,Anterior Interneuron N Right,AB alaapaaar,Ring interneuron,wormatlas_cook_2019_via_cect
AIYL,Anterior Interneuron Y Left,AB plpapaaap,Amphid interneuron,wormatlas_cook_2019_via_cect
AIYR,Anterior Interneuron Y Right,AB prpapaaap,Amphid interneuron,wormatlas_cook_2019_via_cect
AIZL,Anterior Interneuron Z Left,AB plapaaapav,Amphid interneuron,wormatlas_cook_2019_via_cect
AIZR,Anterior Interneuron Z Right,AB prapaaapav,Amphid interneuron,wormatlas_cook_2019_via_cect
ALA,Anterior Lateral Neuron A,AB alapppaaa,"Neuron, sends processes laterally and along dorsal cord",wormatlas_cook_2019_via_cect
ALML,Anterior Lateral Microtubule Neuron Left,AB arppaappa,Anterior lateral microtubule cell,wormatlas_cook_2019_via_cect
ALMR,Anterior Lateral Microtubule Neuron Right,AB arpppappa,Anterior lateral microtubule cell,wormatlas_cook_2019_via_cect
ALNL,Anterior Lateral Neuron N Left,AB plapappppap,Neuron associated with ALM,wormatlas_cook_2019_via_cect
ALNR,Anterior Lateral Neuron N Right,AB prapappppap,Neuron associated with ALM,wormatlas_cook_2019_via_cect
AQR,"Anterior, Q-cell Derived Receptor",QR.ap,"Neuron, basal body. Not part of a sensillum, projects into ring",wormatlas_cook_2019_via_cect
AS1,A-type Short Motor Neuron 1,P1.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS10,A-type Short Motor Neuron 10,P10.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS11,A-type Short Motor Neuron 11,P11.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS2,A-type Short Motor Neuron 2,P2.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS3,A-type Short Motor Neuron 3,P3.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS4,A-type Short Motor Neuron 4,P4.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS5,A-type Short Motor Neuron 5,P5.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS6,A-type Short Motor Neuron 6,P6.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS7,A-type Short Motor Neuron 7,P7.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS8,A-type Short Motor Neuron 8,P8.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
AS9,A-type Short Motor Neuron 9,P9.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",wormatlas_cook_2019_via_cect
ASEL,Amphid Single Cilium E Left,AB alppppppaa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASER,Amphid Single Cilium E Right,AB praaapppaa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASGL,Amphid Single Cilium G Left,AB plaapapap,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASGR,Amphid Single Cilium G Right,AB praapapap,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASHL,Amphid Single Cilium H Left,AB plpaappaa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASHR,Amphid Single Cilium H Right,AB prpaappaa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASIL,Amphid Single Cilium I Left,AB plaapapppa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASIR,Amphid Single Cilium I Right,AB praapapppa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASJL,Amphid Single Cilium J Left,AB alpppppppa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASJR,Amphid Single Cilium J Right,AB praaappppa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASKL,Amphid Single Cilium K Left,AB alpppapppa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
ASKR,Amphid Single Cilium K Right,AB praaaapppa,"Amphid neurons, single ciliated endings",wormatlas_cook_2019_via_cect
AUAL,Amphid-associated Unknown Receptor A Left,AB alpppppppp,"Neuron, process runs with amphid processes but lacks ciliated ending",wormatlas_cook_2019_via_cect
AUAR,Amphid-associated Unknown Receptor A Right,AB praaappppp,"Neuron, process runs with amphid processes but lacks ciliated ending",wormatlas_cook_2019_via_cect
AVAL,Anterior Ventral Process A Left,AB alppaaapa,Ventral cord interneuron,wormatlas_cook_2019_via_cect
AVAR,Anterior Ventral Process A Right,AB alaappapa,Ventral cord interneuron,wormatlas_cook_2019_via_cect
AVBL,Anterior Ventral Process B Left,AB plpaapaap,Ventral cord interneuron,wormatlas_cook_2019_via_cect
AVBR,Anterior Ventral Process B Right,AB prpaapaap,Ventral cord interneuron,wormatlas_cook_2019_via_cect
AVDL,Anterior Ventral Process D Left,AB alaaapalr,Ventral cord interneuron,wormatlas_cook_2019_via_cect
AVDR,Anterior Ventral Process D Right,AB alaaapprl,Ventral cord interneuron,wormatlas_cook_2019_via_cect
AVEL,Anterior Ventral Process E Left,AB alpppaaaa,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord",wormatlas_cook_2019_via_cect
AVER,Anterior Ventral Process E Right,AB praaaaaaa,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord",wormatlas_cook_2019_via_cect
AVFL,Anterior Ventral Process F Left,P1.aaaa/ W.aaa,Interneuron,wormatlas_cook_2019_via_cect
AVFR,Anterior Ventral Process F Right,P1.aaaa/ W.aaa,Interneuron,wormatlas_cook_2019_via_cect
AVG,Anterior Ventral Process G,AB prpapppap,Ventral cord interneuron,wormatlas_cook_2019_via_cect
AVHL,Anterior Ventral Process H Left,AB alapaaaaa,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",wormatlas_cook_2019_via_cect
AVHR,Anterior Ventral Process H Right,AB alappapaa,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",wormatlas_cook_2019_via_cect
AVJL,Anterior Ventral Process J Left,AB alapapppa,"Neuron, synapses like AVHL/R",wormatlas_cook_2019_via_cect
