cell_id,class_name,source_row,source_ref
ADAL,ADA,5,wang_2024_nt_atlas
ADAR,ADA,6,wang_2024_nt_atlas
ADEL,ADE,7,wang_2024_nt_atlas
ADER,ADE,8,wang_2024_nt_atlas
ADFL,ADF,9,wang_2024_nt_atlas
ADFR,ADF,10,wang_2024_nt_atlas
ADLL,ADL,11,wang_2024_nt_atlas
ADLR,ADL,12,wang_2024_nt_atlas
AFDL,AFD,13,wang_2024_nt_atlas
AFDR,AFD,14,wang_2024_nt_atlas
AIAL,AIA,15,wang_2024_nt_atlas
AIAR,AIA,16,wang_2024_nt_atlas
AIBL,AIB,17,wang_2024_nt_atlas
AIBR,AIB,18,wang_2024_nt_atlas
AIML,AIM,19,wang_2024_nt_atlas
AIMR,AIM,20,wang_2024_nt_atlas
AINL,AIN,21,wang_2024_nt_atlas
AINR,AIN,22,wang_2024_nt_atlas
AIYL,AIY,23,wang_2024_nt_atlas
AIYR,AIY,24,wang_2024_nt_atlas
AIZL,AIZ,25,wang_2024_nt_atlas
AIZR,AIZ,26,wang_2024_nt_atlas
ALA,ALA,27,wang_2024_nt_atlas
ALML,ALM,28,wang_2024_nt_atlas
ALMR,ALM,29,wang_2024_nt_atlas
ALNL,ALN,30,wang_2024_nt_atlas
ALNR,ALN,31,wang_2024_nt_atlas
AQR,AQR,32,wang_2024_nt_atlas
AS1,AS,33,wang_2024_nt_atlas
AS10,AS,42,wang_2024_nt_atlas
AS11,AS,43,wang_2024_nt_atlas
AS2,AS,34,wang_2024_nt_atlas
AS3,AS,35,wang_2024_nt_atlas
AS4,AS,36,wang_2024_nt_atlas
AS5,AS,37,wang_2024_nt_atlas
AS6,AS,38,wang_2024_nt_atlas
AS7,AS,39,wang_2024_nt_atlas
AS8,AS,40,wang_2024_nt_atlas
AS9,AS,41,wang_2024_nt_atlas
ASEL,ASE,44,wang_2024_nt_atlas
ASER,ASE,45,wang_2024_nt_atlas
ASGL,ASG,46,wang_2024_nt_atlas
ASGR,ASG,47,wang_2024_nt_atlas
ASHL,ASH,48,wang_2024_nt_atlas
ASHR,ASH,49,wang_2024_nt_atlas
ASIL,ASI,50,wang_2024_nt_atlas
ASIR,ASI,51,wang_2024_nt_atlas
ASJL,ASJ,52,wang_2024_nt_atlas
ASJR,ASJ,53,wang_2024_nt_atlas
ASKL,ASK,54,wang_2024_nt_atlas
ASKR,ASK,55,wang_2024_nt_atlas
AUAL,AUA,56,wang_2024_nt_atlas
AUAR,AUA,57,wang_2024_nt_atlas
AVAL,AVA,58,wang_2024_nt_atlas
AVAR,AVA,59,wang_2024_nt_atlas
AVBL,AVB,60,wang_2024_nt_atlas
AVBR,AVB,61,wang_2024_nt_atlas
AVDL,AVD,62,wang_2024_nt_atlas
AVDR,AVD,63,wang_2024_nt_atlas
AVEL,AVE,64,wang_2024_nt_atlas
AVER,AVE,65,wang_2024_nt_atlas
AVFL,AVF,66,wang_2024_nt_atlas
AVFR,AVF,67,wang_2024_nt_atlas
AVG,AVG,68,wang_2024_nt_atlas
AVHL,AVH,69,wang_2024_nt_atlas
AVHR,AVH,70,wang_2024_nt_atlas
AVJL,AVJ,71,wang_2024_nt_atlas
AVJR,AVJ,72,wang_2024_nt_atlas
AVKL,AVK,73,wang_2024_nt_atlas
AVKR,AVK,74,wang_2024_nt_atlas
AVL,AVL,75,wang_2024_nt_atlas
AVM,AVM,76,wang_2024_nt_atlas
AWAL,AWA,77,wang_2024_nt_atlas
AWAR,AWA,78,wang_2024_nt_atlas
AWBL,AWB,79,wang_2024_nt_atlas
AWBR,AWB,80,wang_2024_nt_atlas
AWCL,AWC,81,wang_2024_nt_atlas
AWCR,AWC,82,wang_2024_nt_atlas
BAGL,BAG,83,wang_2024_nt_atlas
BAGR,BAG,84,wang_2024_nt_atlas
BDUL,BDU,85,wang_2024_nt_atlas
BDUR,BDU,86,wang_2024_nt_atlas
CANL,CAN,87,wang_2024_nt_atlas
CANR,CAN,88,wang_2024_nt_atlas
CEPDL,CEP,89,wang_2024_nt_atlas
CEPDR,CEP,90,wang_2024_nt_atlas
CEPVL,CEP,91,wang_2024_nt_atlas
CEPVR,CEP,92,wang_2024_nt_atlas
DA1,DA,93,wang_2024_nt_atlas
DA2,DA,94,wang_2024_nt_atlas
DA3,DA,95,wang_2024_nt_atlas
DA4,DA,96,wang_2024_nt_atlas
DA5,DA,97,wang_2024_nt_atlas
DA6,DA,98,wang_2024_nt_atlas
DA7,DA,99,wang_2024_nt_atlas
DA8,DA,100,wang_2024_nt_atlas
DA9,DA,101,wang_2024_nt_atlas
DB1,DB,102,wang_2024_nt_atlas
DB2,DB,103,wang_2024_nt_atlas
DB3,DB,104,wang_2024_nt_atlas
DB4,DB,105,wang_2024_nt_atlas
DB5,DB,106,wang_2024_nt_atlas
DB6,DB,107,wang_2024_nt_atlas
DB7,DB,108,wang_2024_nt_atlas
DD1,DD,109,wang_2024_nt_atlas
DD2,DD,110,wang_2024_nt_atlas
DD3,DD,111,wang_2024_nt_atlas
DD4,DD,112,wang_2024_nt_atlas
DD5,DD,113,wang_2024_nt_atlas
DD6,DD,114,wang_2024_nt_atlas
DVA,DVA,115,wang_2024_nt_atlas
DVB,DVB,116,wang_2024_nt_atlas
DVC,DVC,117,wang_2024_nt_atlas
FLPL,FLP,118,wang_2024_nt_atlas
FLPR,FLP,119,wang_2024_nt_atlas
HSNL,HSN,120,wang_2024_nt_atlas
HSNR,HSN,121,wang_2024_nt_atlas
I1L,I1,122,wang_2024_nt_atlas
I1R,I1,123,wang_2024_nt_atlas
I2L,I2,124,wang_2024_nt_atlas
I2R,I2,125,wang_2024_nt_atlas
I3,I3,126,wang_2024_nt_atlas
I4,I4,127,wang_2024_nt_atlas
I5,I5,128,wang_2024_nt_atlas
I6,I6,129,wang_2024_nt_atlas
IL1DL,IL1,130,wang_2024_nt_atlas
IL1DR,IL1,131,wang_2024_nt_atlas
IL1L,IL1,132,wang_2024_nt_atlas
IL1R,IL1,133,wang_2024_nt_atlas
IL1VL,IL1,134,wang_2024_nt_atlas
IL1VR,IL1,135,wang_2024_nt_atlas
IL2DL,IL2,136,wang_2024_nt_atlas
IL2DR,IL2,137,wang_2024_nt_atlas
IL2L,IL2,138,wang_2024_nt_atlas
IL2R,IL2,139,wang_2024_nt_atlas
IL2VL,IL2,140,wang_2024_nt_atlas
IL2VR,IL2,141,wang_2024_nt_atlas
LUAL,LUA,142,wang_2024_nt_atlas
LUAR,LUA,143,wang_2024_nt_atlas
M1,M1,144,wang_2024_nt_atlas
M2L,M2,145,wang_2024_nt_atlas
M2R,M2,146,wang_2024_nt_atlas
M3L,M3,147,wang_2024_nt_atlas
M3R,M3,148,wang_2024_nt_atlas
M4,M4,149,wang_2024_nt_atlas
M5,M5,150,wang_2024_nt_atlas
MCL,MC,151,wang_2024_nt_atlas
MCR,MC,152,wang_2024_nt_atlas
MI,MI,153,wang_2024_nt_atlas
NSML,NSM,154,wang_2024_nt_atlas
NSMR,NSM,155,wang_2024_nt_atlas
OLLL,OLL,156,wang_2024_nt_atlas
OLLR,OLL,157,wang_2024_nt_atlas
OLQDL,OLQ,158,wang_2024_nt_atlas
OLQDR,OLQ,159,wang_2024_nt_atlas
OLQVL,OLQ,160,wang_2024_nt_atlas
OLQVR,OLQ,161,wang_2024_nt_atlas
PDA,PDA,162,wang_2024_nt_atlas
PDB,PDB,163,wang_2024_nt_atlas
PDEL,PDE,164,wang_2024_nt_atlas
PDER,PDE,165,wang_2024_nt_atlas
PHAL,PHA,166,wang_2024_nt_atlas
PHAR,PHA,167,wang_2024_nt_atlas
PHBL,PHB,168,wang_2024_nt_atlas
PHBR,PHB,169,wang_2024_nt_atlas
PHCL,PHC,170,wang_2024_nt_atlas
PHCR,PHC,171,wang_2024_nt_atlas
PLML,PLM,172,wang_2024_nt_atlas
PLMR,PLM,173,wang_2024_nt_atlas
PLNL,PLN,174,wang_2024_nt_atlas
PLNR,PLN,175,wang_2024_nt_atlas
PQR,PQR,176,wang_2024_nt_atlas
PVCL,PVC,177,wang_2024_nt_atlas
PVCR,PVC,178,wang_2024_nt_atlas
PVDL,PVD,179,wang_2024_nt_atlas
PVDR,PVD,180,wang_2024_nt_atlas
PVM,PVM,181,wang_2024_nt_atlas
PVNL,PVN,182,wang_2024_nt_atlas
PVNR,PVN,183,wang_2024_nt_atlas
PVPL,PVP,184,wang_2024_nt_atlas
PVPR,PVP,185,wang_2024_nt_atlas
PVQL,PVQ,186,wang_2024_nt_atlas
PVQR,PVQ,187,wang_2024_nt_atlas
PVR,PVR,188,wang_2024_nt_atlas
PVT,PVT,189,wang_2024_nt_atlas
