cell_id,neurotransmitter,evidence,source_label,source_row,source_ref
ADAL,glutamate,reporter_expression,Glu,5,wang_2024_nt_atlas
ADAR,glutamate,reporter_expression,Glu,6,wang_2024_nt_atlas
ADEL,dopamine,reporter_expression,DA,7,wang_2024_nt_atlas
ADER,dopamine,reporter_expression,DA,8,wang_2024_nt_atlas
ADFL,acetylcholine,reporter_expression,ACh,9,wang_2024_nt_atlas
ADFR,acetylcholine,reporter_expression,ACh,10,wang_2024_nt_atlas
ADLL,glutamate,reporter_expression,Glu,11,wang_2024_nt_atlas
ADLR,glutamate,reporter_expression,Glu,12,wang_2024_nt_atlas
AFDL,glutamate,reporter_expression,Glu,13,wang_2024_nt_atlas
AFDR,glutamate,reporter_expression,Glu,14,wang_2024_nt_atlas
AIAL,acetylcholine,reporter_expression,ACh,15,wang_2024_nt_atlas
AIAR,acetylcholine,reporter_expression,ACh,16,wang_2024_nt_atlas
AIBL,glutamate,reporter_expression,Glu,17,wang_2024_nt_atlas
AIBR,glutamate,reporter_expression,Glu,18,wang_2024_nt_atlas
AIML,glutamate,reporter_expression,Glu,19,wang_2024_nt_atlas
AIMR,glutamate,reporter_expression,Glu,20,wang_2024_nt_atlas
AINL,acetylcholine,reporter_expression,ACh,21,wang_2024_nt_atlas
AINR,acetylcholine,reporter_expression,ACh,22,wang_2024_nt_atlas
AIYL,acetylcholine,reporter_expression,ACh,23,wang_2024_nt_atlas
AIYR,acetylcholine,reporter_expression,ACh,24,wang_2024_nt_atlas
AIZL,glutamate,reporter_expression,Glu,25,wang_2024_nt_atlas
AIZR,glutamate,reporter_expression,Glu,26,wang_2024_nt_atlas
ALA,gaba,reporter_expression,GABA,27,wang_2024_nt_atlas
ALML,glutamate,reporter_expression,Glu,28,wang_2024_nt_atlas
ALMR,glutamate,reporter_expression,Glu,29,wang_2024_nt_atlas
ALNL,acetylcholine,reporter_expression,ACh,30,wang_2024_nt_atlas
ALNR,acetylcholine,reporter_expression,ACh,31,wang_2024_nt_atlas
AQR,glutamate,reporter_expression,Glu,32,wang_2024_nt_atlas
AS1,acetylcholine,reporter_expression,ACh,33,wang_2024_nt_atlas
AS10,acetylcholine,reporter_expression,ACh,42,wang_2024_nt_atlas
AS11,acetylcholine,reporter_expression,ACh,43,wang_2024_nt_atlas
AS2,acetylcholine,reporter_expression,ACh,34,wang_2024_nt_atlas
AS3,acetylcholine,reporter_expression,ACh,35,wang_2024_nt_atlas
AS4,acetylcholine,reporter_expression,ACh,36,wang_2024_nt_atlas
AS5,acetylcholine,reporter_expression,ACh,37,wang_2024_nt_atlas
AS6,acetylcholine,reporter_expression,ACh,38,wang_2024_nt_atlas
AS7,acetylcholine,reporter_expression,ACh,39,wang_2024_nt_atlas
AS8,acetylcholine,reporter_expression,ACh,40,wang_2024_nt_atlas
AS9,acetylcholine,reporter_expression,ACh,41,wang_2024_nt_atlas
ASEL,glutamate,reporter_expression,Glu,44,wang_2024_nt_atlas
ASER,glutamate,reporter_expression,Glu,45,wang_2024_nt_atlas
ASGL,glutamate,reporter_expression,Glu,46,wang_2024_nt_atlas
ASGR,glutamate,reporter_expression,Glu,47,wang_2024_nt_atlas
ASHL,glutamate,reporter_expression,Glu,48,wang_2024_nt_atlas
ASHR,glutamate,reporter_expression,Glu,49,wang_2024_nt_atlas
ASIL,betaine,uptake_not_synthesis,*betaine (uptake) - NEW,50,wang_2024_nt_atlas
ASIR,betaine,uptake_not_synthesis,*betaine (uptake) - NEW,51,wang_2024_nt_atlas
ASJL,acetylcholine,reporter_expression,ACh,52,wang_2024_nt_atlas
ASJR,acetylcholine,reporter_expression,ACh,53,wang_2024_nt_atlas
ASKL,glutamate,reporter_expression,Glu,54,wang_2024_nt_atlas
ASKR,glutamate,reporter_expression,Glu,55,wang_2024_nt_atlas
AUAL,glutamate,reporter_expression,Glu,56,wang_2024_nt_atlas
AUAR,glutamate,reporter_expression,Glu,57,wang_2024_nt_atlas
AVAL,acetylcholine,reporter_expression,ACh,58,wang_2024_nt_atlas
AVAR,acetylcholine,reporter_expression,ACh,59,wang_2024_nt_atlas
AVBL,acetylcholine,reporter_expression,ACh,60,wang_2024_nt_atlas
AVBR,acetylcholine,reporter_expression,ACh,61,wang_2024_nt_atlas
AVDL,acetylcholine,reporter_expression,ACh,62,wang_2024_nt_atlas
AVDR,acetylcholine,reporter_expression,ACh,63,wang_2024_nt_atlas
AVEL,acetylcholine,reporter_expression,ACh,64,wang_2024_nt_atlas
AVER,acetylcholine,reporter_expression,ACh,65,wang_2024_nt_atlas
AVFL,gaba,uptake_not_synthesis,GABA (uptake),66,wang_2024_nt_atlas
AVFR,gaba,uptake_not_synthesis,GABA (uptake),67,wang_2024_nt_atlas
AVG,acetylcholine,reporter_expression_dim_variable,*ACh,68,wang_2024_nt_atlas
AVHL,unknown,orphan_no_pathway_gene_detected,unknown (orphan),69,wang_2024_nt_atlas
AVHR,unknown,orphan_no_pathway_gene_detected,unknown (orphan),70,wang_2024_nt_atlas
AVJL,gaba,reporter_expression_dim_variable,*GABA,71,wang_2024_nt_atlas
AVJR,gaba,reporter_expression_dim_variable,*GABA,72,wang_2024_nt_atlas
AVKL,unknown,orphan_no_pathway_gene_detected,"unknown (orphan, unc-47 expression)",73,wang_2024_nt_atlas
AVKR,unknown,orphan_no_pathway_gene_detected,"unknown (orphan, unc-47 expression)",74,wang_2024_nt_atlas
AVL,gaba,reporter_expression,GABA,75,wang_2024_nt_atlas
