pre,post,sign,basis,primary_nt,source_row,source_ref
ADAL,ADAL,unknown,no_receptor_match_found,Glu,3,fenyves_2020_polarity
ADAL,ADLL,unknown,no_receptor_match_found,Glu,4,fenyves_2020_polarity
ADAL,AIAL,mixed,both_excitatory_and_inhibitory_receptors,Glu,5,fenyves_2020_polarity
ADAL,AIBL,excitatory,receptor_match,Glu,6,fenyves_2020_polarity
ADAL,AIBR,excitatory,receptor_match,Glu,7,fenyves_2020_polarity
ADAL,AVAL,excitatory,receptor_match,Glu,8,fenyves_2020_polarity
ADAL,AVAR,excitatory,receptor_match,Glu,9,fenyves_2020_polarity
ADAL,AVBL,excitatory,receptor_match,Glu,10,fenyves_2020_polarity
ADAL,AVBR,excitatory,receptor_match,Glu,11,fenyves_2020_polarity
ADAL,AVDL,excitatory,receptor_match,Glu,12,fenyves_2020_polarity
ADAL,AVDR,excitatory,receptor_match,Glu,13,fenyves_2020_polarity
ADAL,AVEL,excitatory,receptor_match,Glu,14,fenyves_2020_polarity
ADAL,AVJR,excitatory,receptor_match,Glu,15,fenyves_2020_polarity
ADAL,PVPL,unknown,no_receptor_match_found,Glu,16,fenyves_2020_polarity
ADAL,RICL,excitatory,receptor_match,Glu,17,fenyves_2020_polarity
ADAL,RICR,excitatory,receptor_match,Glu,18,fenyves_2020_polarity
ADAL,RID,unknown,no_receptor_match_found,Glu,19,fenyves_2020_polarity
ADAL,RIML,mixed,both_excitatory_and_inhibitory_receptors,Glu,20,fenyves_2020_polarity
ADAL,RIPL,unknown,no_receptor_match_found,Glu,21,fenyves_2020_polarity
ADAL,SMDVR,excitatory,receptor_match,Glu,22,fenyves_2020_polarity
ADAL,URAVL,excitatory,receptor_match,Glu,23,fenyves_2020_polarity
ADAL,URXL,unknown,no_receptor_match_found,Glu,24,fenyves_2020_polarity
ADAR,AIBL,excitatory,receptor_match,Glu,25,fenyves_2020_polarity
ADAR,AIBR,excitatory,receptor_match,Glu,26,fenyves_2020_polarity
ADAR,ASHR,unknown,no_receptor_match_found,Glu,27,fenyves_2020_polarity
ADAR,AVAR,excitatory,receptor_match,Glu,28,fenyves_2020_polarity
ADAR,AVBL,excitatory,receptor_match,Glu,29,fenyves_2020_polarity
ADAR,AVBR,excitatory,receptor_match,Glu,30,fenyves_2020_polarity
ADAR,AVDL,excitatory,receptor_match,Glu,31,fenyves_2020_polarity
ADAR,AVDR,excitatory,receptor_match,Glu,32,fenyves_2020_polarity
ADAR,AVEL,excitatory,receptor_match,Glu,33,fenyves_2020_polarity
ADAR,AVJL,excitatory,receptor_match,Glu,34,fenyves_2020_polarity
ADAR,PVR,unknown,no_receptor_match_found,Glu,35,fenyves_2020_polarity
ADAR,RIFR,excitatory,receptor_match,Glu,36,fenyves_2020_polarity
ADAR,RIMR,mixed,both_excitatory_and_inhibitory_receptors,Glu,37,fenyves_2020_polarity
ADAR,RIPR,unknown,no_receptor_match_found,Glu,38,fenyves_2020_polarity
ADAR,RIVR,unknown,no_receptor_match_found,Glu,39,fenyves_2020_polarity
ADAR,SMDVL,excitatory,receptor_match,Glu,40,fenyves_2020_polarity
ADAR,URXR,unknown,no_receptor_match_found,Glu,41,fenyves_2020_polarity
ADAR,URYDR,excitatory,receptor_match,Glu,42,fenyves_2020_polarity
ADEL,ADAL,unknown,no_receptor_match_found,,43,fenyves_2020_polarity
ADEL,ADER,unknown,no_receptor_match_found,,44,fenyves_2020_polarity
ADEL,ALML,unknown,no_receptor_match_found,,45,fenyves_2020_polarity
ADEL,AVAL,unknown,no_receptor_match_found,,46,fenyves_2020_polarity
ADEL,AVAR,unknown,no_receptor_match_found,,47,fenyves_2020_polarity
ADEL,AVDL,unknown,no_receptor_match_found,,48,fenyves_2020_polarity
ADEL,AVEL,unknown,no_receptor_match_found,,49,fenyves_2020_polarity
ADEL,AVHL,unknown,no_receptor_match_found,,50,fenyves_2020_polarity
ADEL,AVL,unknown,no_receptor_match_found,,51,fenyves_2020_polarity
ADEL,BDUL,unknown,no_receptor_match_found,,52,fenyves_2020_polarity
ADEL,CEPDL,unknown,no_receptor_match_found,,53,fenyves_2020_polarity
ADEL,FLPL,unknown,no_receptor_match_found,,54,fenyves_2020_polarity
ADEL,IL1L,unknown,no_receptor_match_found,,55,fenyves_2020_polarity
ADEL,IL2L,unknown,no_receptor_match_found,,56,fenyves_2020_polarity
ADEL,OLLL,unknown,no_receptor_match_found,,57,fenyves_2020_polarity
ADEL,RIAL,unknown,no_receptor_match_found,,58,fenyves_2020_polarity
ADEL,RIFL,unknown,no_receptor_match_found,,59,fenyves_2020_polarity
ADEL,RIGL,unknown,no_receptor_match_found,,60,fenyves_2020_polarity
ADEL,RIGR,unknown,no_receptor_match_found,,61,fenyves_2020_polarity
ADEL,RIH,unknown,no_receptor_match_found,,62,fenyves_2020_polarity
ADEL,RIVL,unknown,no_receptor_match_found,,63,fenyves_2020_polarity
ADEL,RIVR,unknown,no_receptor_match_found,,64,fenyves_2020_polarity
ADEL,RMDL,unknown,no_receptor_match_found,,65,fenyves_2020_polarity
ADEL,RMER,unknown,no_receptor_match_found,,66,fenyves_2020_polarity
ADEL,RMGL,unknown,no_receptor_match_found,,67,fenyves_2020_polarity
ADEL,RMHL,unknown,no_receptor_match_found,,68,fenyves_2020_polarity
ADEL,RMHR,unknown,no_receptor_match_found,,69,fenyves_2020_polarity
ADEL,SAADR,unknown,no_receptor_match_found,,70,fenyves_2020_polarity
ADEL,SIADR,unknown,no_receptor_match_found,,71,fenyves_2020_polarity
ADEL,SIBVR,unknown,no_receptor_match_found,,72,fenyves_2020_polarity
ADEL,SMBDR,unknown,no_receptor_match_found,,73,fenyves_2020_polarity
ADEL,SMBVL,unknown,no_receptor_match_found,,74,fenyves_2020_polarity
ADEL,URBL,unknown,no_receptor_match_found,,75,fenyves_2020_polarity
ADEL,VB1,unknown,no_receptor_match_found,,76,fenyves_2020_polarity
ADER,ADAR,unknown,no_receptor_match_found,,77,fenyves_2020_polarity
ADER,ADEL,unknown,no_receptor_match_found,,78,fenyves_2020_polarity
ADER,ALNR,unknown,no_receptor_match_found,,79,fenyves_2020_polarity
ADER,ASIR,unknown,no_receptor_match_found,,80,fenyves_2020_polarity
ADER,AVAL,unknown,no_receptor_match_found,,81,fenyves_2020_polarity
ADER,AVAR,unknown,no_receptor_match_found,,82,fenyves_2020_polarity
ADER,AVDR,unknown,no_receptor_match_found,,83,fenyves_2020_polarity
ADER,AVER,unknown,no_receptor_match_found,,84,fenyves_2020_polarity
ADER,AVJR,unknown,no_receptor_match_found,,85,fenyves_2020_polarity
ADER,CEPDR,unknown,no_receptor_match_found,,86,fenyves_2020_polarity
ADER,CEPVR,unknown,no_receptor_match_found,,87,fenyves_2020_polarity
ADER,FLPL,unknown,no_receptor_match_found,,88,fenyves_2020_polarity
ADER,FLPR,unknown,no_receptor_match_found,,89,fenyves_2020_polarity
ADER,IL1R,unknown,no_receptor_match_found,,90,fenyves_2020_polarity
ADER,IL2R,unknown,no_receptor_match_found,,91,fenyves_2020_polarity
ADER,OLLR,unknown,no_receptor_match_found,,92,fenyves_2020_polarity
ADER,RIAR,unknown,no_receptor_match_found,,93,fenyves_2020_polarity
ADER,RIGL,unknown,no_receptor_match_found,,94,fenyves_2020_polarity
ADER,RIGR,unknown,no_receptor_match_found,,95,fenyves_2020_polarity
ADER,RMDL,unknown,no_receptor_match_found,,96,fenyves_2020_polarity
ADER,RMDR,unknown,no_receptor_match_found,,97,fenyves_2020_polarity
ADER,RMGR,unknown,no_receptor_match_found,,98,fenyves_2020_polarity
ADER,SMDVR,unknown,no_receptor_match_found,,99,fenyves_2020_polarity
ADER,URBR,unknown,no_receptor_match_found,,100,fenyves_2020_polarity
ADER,URXR,unknown,no_receptor_match_found,,101,fenyves_2020_polarity
ADFL,ADAL,unknown,no_receptor_match_found,ACh,102,fenyves_2020_polarity
ADFL,ADLL,unknown,no_receptor_match_found,ACh,103,fenyves_2020_polarity
ADFL,AFDL,unknown,no_receptor_match_found,ACh,104,fenyves_2020_polarity
ADFL,AIAL,unknown,no_receptor_match_found,ACh,105,fenyves_2020_polarity
ADFL,AIBL,inhibitory,receptor_match,ACh,106,fenyves_2020_polarity
ADFL,AIBR,inhibitory,receptor_match,ACh,107,fenyves_2020_polarity
ADFL,AIZL,inhibitory,receptor_match,ACh,108,fenyves_2020_polarity
ADFL,AUAL,unknown,no_receptor_match_found,ACh,109,fenyves_2020_polarity
ADFL,AWBL,unknown,no_receptor_match_found,ACh,110,fenyves_2020_polarity
ADFL,AWCR,unknown,no_receptor_match_found,ACh,111,fenyves_2020_polarity
ADFL,RIAL,inhibitory,receptor_match,ACh,112,fenyves_2020_polarity
ADFL,RIBL,excitatory,receptor_match,ACh,113,fenyves_2020_polarity
ADFL,RIGL,mixed,both_excitatory_and_inhibitory_receptors,ACh,114,fenyves_2020_polarity
ADFL,RIGR,mixed,both_excitatory_and_inhibitory_receptors,ACh,115,fenyves_2020_polarity
ADFL,RIR,unknown,no_receptor_match_found,ACh,116,fenyves_2020_polarity
ADFL,RIVL,inhibitory,receptor_match,ACh,117,fenyves_2020_polarity
