cell_id,role,type_label,source_ref
ADAL,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
ADAR,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
ADEL,sensory,Mechanosensory,wormatlas_cook_2019_via_cect
ADER,sensory,Mechanosensory,wormatlas_cook_2019_via_cect
ADFL,sensory,Amphid,wormatlas_cook_2019_via_cect
ADFR,sensory,Amphid,wormatlas_cook_2019_via_cect
ADLL,sensory,"Amphid, nociceptive",wormatlas_cook_2019_via_cect
ADLR,sensory,"Amphid, nociceptive",wormatlas_cook_2019_via_cect
AFDL,sensory,Amphid,wormatlas_cook_2019_via_cect
AFDR,sensory,Amphid,wormatlas_cook_2019_via_cect
AIAL,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AIAR,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AIBL,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AIBR,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AIML,inter,Category 4 interneuron,wormatlas_cook_2019_via_cect
AIMR,inter,Category 4 interneuron,wormatlas_cook_2019_via_cect
AINL,inter,Category 4 interneuron,wormatlas_cook_2019_via_cect
AINR,inter,Category 4 interneuron,wormatlas_cook_2019_via_cect
AIYL,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AIYR,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AIZL,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AIZR,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
ALA,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
ALML,sensory,Mechanosensory,wormatlas_cook_2019_via_cect
ALMR,sensory,Mechanosensory,wormatlas_cook_2019_via_cect
ALNL,sensory,Touch,wormatlas_cook_2019_via_cect
ALNR,sensory,Touch,wormatlas_cook_2019_via_cect
AQR,sensory,Touch,wormatlas_cook_2019_via_cect
AS1,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS10,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS11,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS2,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS3,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS4,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS5,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS6,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS7,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS8,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
AS9,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
ASEL,sensory,Amphid,wormatlas_cook_2019_via_cect
ASER,sensory,Amphid,wormatlas_cook_2019_via_cect
ASGL,sensory,Amphid,wormatlas_cook_2019_via_cect
ASGR,sensory,Amphid,wormatlas_cook_2019_via_cect
ASHL,sensory,"Amphid, nociceptive",wormatlas_cook_2019_via_cect
ASHR,sensory,"Amphid, nociceptive",wormatlas_cook_2019_via_cect
ASIL,sensory,Amphid,wormatlas_cook_2019_via_cect
ASIR,sensory,Amphid,wormatlas_cook_2019_via_cect
ASJL,sensory,Amphid,wormatlas_cook_2019_via_cect
ASJR,sensory,Amphid,wormatlas_cook_2019_via_cect
ASKL,sensory,Amphid,wormatlas_cook_2019_via_cect
ASKR,sensory,Amphid,wormatlas_cook_2019_via_cect
AUAL,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AUAR,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AVAL,inter,Layer 1 interneuron,wormatlas_cook_2019_via_cect
AVAR,inter,Layer 1 interneuron,wormatlas_cook_2019_via_cect
AVBL,inter,Layer 1 interneuron,wormatlas_cook_2019_via_cect
AVBR,inter,Layer 1 interneuron,wormatlas_cook_2019_via_cect
AVDL,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AVDR,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AVEL,inter,Layer 1 interneuron,wormatlas_cook_2019_via_cect
AVER,inter,Layer 1 interneuron,wormatlas_cook_2019_via_cect
AVFL,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AVFR,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AVG,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AVHL,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AVHR,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
AVJL,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AVJR,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AVKL,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AVKR,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AVL,inter,Layer 2 interneuron,wormatlas_cook_2019_via_cect
AVM,sensory,Mechanosensory,wormatlas_cook_2019_via_cect
AWAL,sensory,Amphid,wormatlas_cook_2019_via_cect
AWAR,sensory,Amphid,wormatlas_cook_2019_via_cect
AWBL,sensory,Amphid,wormatlas_cook_2019_via_cect
AWBR,sensory,Amphid,wormatlas_cook_2019_via_cect
AWCL,sensory,Amphid,wormatlas_cook_2019_via_cect
AWCR,sensory,Amphid,wormatlas_cook_2019_via_cect
BAGL,sensory,"O2, CO2, social signals, touch",wormatlas_cook_2019_via_cect
BAGR,sensory,"O2, CO2, social signals, touch",wormatlas_cook_2019_via_cect
BDUL,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
BDUR,inter,Layer 3 interneuron,wormatlas_cook_2019_via_cect
CA01,inter,Male interneuron,wormatlas_cook_2019_via_cect
CA02,inter,Male interneuron,wormatlas_cook_2019_via_cect
CA03,inter,Male interneuron,wormatlas_cook_2019_via_cect
CA04,inter,Male interneuron,wormatlas_cook_2019_via_cect
CA05,inter,Male interneuron,wormatlas_cook_2019_via_cect
CA06,inter,Male interneuron,wormatlas_cook_2019_via_cect
CA07,inter,Male interneuron,wormatlas_cook_2019_via_cect
CA08,inter,Male interneuron,wormatlas_cook_2019_via_cect
CA09,inter,Male interneuron,wormatlas_cook_2019_via_cect
CANL,unknown,Canal neuron,wormatlas_cook_2019_via_cect
CANR,unknown,Canal neuron,wormatlas_cook_2019_via_cect
CEMDL,sensory,Male head sensory neuron,wormatlas_cook_2019_via_cect
CEMDR,sensory,Male head sensory neuron,wormatlas_cook_2019_via_cect
CEMVL,sensory,Male head sensory neuron,wormatlas_cook_2019_via_cect
CEMVR,sensory,Male head sensory neuron,wormatlas_cook_2019_via_cect
CEPDL,sensory,Cephalic,wormatlas_cook_2019_via_cect
CEPDR,sensory,Cephalic,wormatlas_cook_2019_via_cect
CEPVL,sensory,Cephalic,wormatlas_cook_2019_via_cect
CEPVR,sensory,Cephalic,wormatlas_cook_2019_via_cect
CP01,inter,Male interneuron,wormatlas_cook_2019_via_cect
CP02,inter,Male interneuron,wormatlas_cook_2019_via_cect
CP03,inter,Male interneuron,wormatlas_cook_2019_via_cect
CP04,inter,Male interneuron,wormatlas_cook_2019_via_cect
CP05,inter,Male interneuron,wormatlas_cook_2019_via_cect
CP06,inter,Male interneuron,wormatlas_cook_2019_via_cect
CP07,inter,Male interneuron,wormatlas_cook_2019_via_cect
CP08,inter,Male interneuron,wormatlas_cook_2019_via_cect
CP09,inter,Male interneuron,wormatlas_cook_2019_via_cect
DA1,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DA2,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DA3,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DA4,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DA5,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DA6,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DA7,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DA8,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DA9,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DB1,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DB2,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DB3,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DB4,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
DB5,motor,Ventral cord motor neuron,wormatlas_cook_2019_via_cect
