cell_id,category,type_label,sex_specific,source_ref
ADAL,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
ADAR,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
ADEL,neuron,Mechanosensory,,wormatlas_cook_2019_via_cect
ADER,neuron,Mechanosensory,,wormatlas_cook_2019_via_cect
ADFL,neuron,Amphid,,wormatlas_cook_2019_via_cect
ADFR,neuron,Amphid,,wormatlas_cook_2019_via_cect
ADLL,neuron,"Amphid, nociceptive",,wormatlas_cook_2019_via_cect
ADLR,neuron,"Amphid, nociceptive",,wormatlas_cook_2019_via_cect
AFDL,neuron,Amphid,,wormatlas_cook_2019_via_cect
AFDR,neuron,Amphid,,wormatlas_cook_2019_via_cect
AIAL,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AIAR,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AIBL,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AIBR,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AIML,neuron,Category 4 interneuron,,wormatlas_cook_2019_via_cect
AIMR,neuron,Category 4 interneuron,,wormatlas_cook_2019_via_cect
AINL,neuron,Category 4 interneuron,,wormatlas_cook_2019_via_cect
AINR,neuron,Category 4 interneuron,,wormatlas_cook_2019_via_cect
AIYL,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AIYR,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AIZL,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AIZR,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
ALA,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
ALML,neuron,Mechanosensory,,wormatlas_cook_2019_via_cect
ALMR,neuron,Mechanosensory,,wormatlas_cook_2019_via_cect
ALNL,neuron,Touch,,wormatlas_cook_2019_via_cect
ALNR,neuron,Touch,,wormatlas_cook_2019_via_cect
AQR,neuron,Touch,,wormatlas_cook_2019_via_cect
AS1,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS10,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS11,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS2,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS3,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS4,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS5,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS6,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS7,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS8,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
AS9,neuron,Ventral cord motor neuron,,wormatlas_cook_2019_via_cect
ASEL,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASER,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASGL,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASGR,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASHL,neuron,"Amphid, nociceptive",,wormatlas_cook_2019_via_cect
ASHR,neuron,"Amphid, nociceptive",,wormatlas_cook_2019_via_cect
ASIL,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASIR,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASJL,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASJR,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASKL,neuron,Amphid,,wormatlas_cook_2019_via_cect
ASKR,neuron,Amphid,,wormatlas_cook_2019_via_cect
AUAL,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AUAR,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AVAL,neuron,Layer 1 interneuron,,wormatlas_cook_2019_via_cect
AVAR,neuron,Layer 1 interneuron,,wormatlas_cook_2019_via_cect
AVBL,neuron,Layer 1 interneuron,,wormatlas_cook_2019_via_cect
AVBR,neuron,Layer 1 interneuron,,wormatlas_cook_2019_via_cect
AVDL,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AVDR,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AVEL,neuron,Layer 1 interneuron,,wormatlas_cook_2019_via_cect
AVER,neuron,Layer 1 interneuron,,wormatlas_cook_2019_via_cect
AVFL,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AVFR,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AVG,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AVHL,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AVHR,neuron,Layer 3 interneuron,,wormatlas_cook_2019_via_cect
AVJL,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AVJR,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AVKL,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AVKR,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AVL,neuron,Layer 2 interneuron,,wormatlas_cook_2019_via_cect
AVM,neuron,Mechanosensory,,wormatlas_cook_2019_via_cect
AWAL,neuron,Amphid,,wormatlas_cook_2019_via_cect
AWAR,neuron,Amphid,,wormatlas_cook_2019_via_cect
AWBL,neuron,Amphid,,wormatlas_cook_2019_via_cect
AWBR,neuron,Amphid,,wormatlas_cook_2019_via_cect
AWCL,neuron,Amphid,,wormatlas_cook_2019_via_cect
AWCR,neuron,Amphid,,wormatlas_cook_2019_via_cect
BAGL,neuron,"O2, CO2, social signals, touch",,wormatlas_cook_2019_via_cect
BAGR,neuron,"O2, CO2, social signals, touch",,wormatlas_cook_2019_via_cect
