pre,post,synapse_type,weight
ADAL,ADAL,chemical,6
ADAL,ADLL,chemical,2
ADAL,AIAL,chemical,2
ADAL,AIBL,chemical,2
ADAL,AIBR,chemical,2
ADAL,AVAL,chemical,3
ADAL,AVAR,chemical,7
ADAL,AVBL,chemical,5
ADAL,AVBR,chemical,21
ADAL,AVDL,chemical,1
ADAL,AVDR,chemical,2
ADAL,AVEL,chemical,3
ADAL,AVJR,chemical,11
ADAL,PVPL,chemical,1
ADAL,RICL,chemical,3
ADAL,RICR,chemical,1
ADAL,RIML,chemical,9
ADAL,RIPL,chemical,4
ADAL,SMDVR,chemical,3
ADAL,URAVL,chemical,1
ADAL,URXL,chemical,2
ADAR,AIBL,chemical,1
ADAR,AIBR,chemical,3
ADAR,ASHR,chemical,2
ADAR,AVAR,chemical,8
ADAR,AVBL,chemical,8
ADAR,AVBR,chemical,15
ADAR,AVDL,chemical,2
ADAR,AVDR,chemical,3
ADAR,AVEL,chemical,1
ADAR,AVJL,chemical,13
ADAR,PVR,chemical,6
ADAR,RIFR,chemical,1
ADAR,RIMR,chemical,15
ADAR,RIPR,chemical,9
ADAR,RIVR,chemical,5
ADAR,SMDVL,chemical,1
ADAR,URXR,chemical,2
ADAR,URYDR,chemical,2
ADEL,ADAL,chemical,1
ADEL,ADEL,chemical,2
ADEL,ADER,chemical,5
ADEL,ALML,chemical,1
ADEL,AVAL,chemical,7
ADEL,AVAR,chemical,9
ADEL,AVDL,chemical,2
ADEL,AVEL,chemical,3
ADEL,AVHL,chemical,2
ADEL,AVL,chemical,1
ADEL,BDUL,chemical,1
ADEL,CEPDL,chemical,1
ADEL,CEPVL,chemical,1
ADEL,FLPL,chemical,4
ADEL,IL1L,chemical,3
ADEL,IL2L,chemical,5
ADEL,MDL03,chemical,1
ADEL,MDL05,chemical,1
ADEL,MVL01,chemical,4
ADEL,OLLL,chemical,6
ADEL,RIAL,chemical,2
ADEL,RIFL,chemical,1
ADEL,RIGL,chemical,18
ADEL,RIGR,chemical,15
ADEL,RIH,chemical,3
ADEL,RIVL,chemical,2
ADEL,RIVR,chemical,2
ADEL,RMDL,chemical,11
ADEL,RMER,chemical,1
ADEL,RMGL,chemical,7
ADEL,RMHL,chemical,1
ADEL,RMHR,chemical,2
ADEL,SAADR,chemical,1
ADEL,SIADR,chemical,2
ADEL,SIBDR,chemical,2
ADEL,SMBDR,chemical,1
ADEL,SMBVL,chemical,2
ADEL,URBL,chemical,2
ADEL,VB1,chemical,2
ADEL,hyp,chemical,2
ADER,ADAR,chemical,1
ADER,ADEL,chemical,3
ADER,ALNR,chemical,1
ADER,ASIR,chemical,1
ADER,AVAL,chemical,9
ADER,AVAR,chemical,4
ADER,AVDR,chemical,5
ADER,AVER,chemical,4
ADER,AVJR,chemical,1
ADER,CEPDR,chemical,5
ADER,CEPVR,chemical,1
ADER,CEPshDR,chemical,1
ADER,FLPL,chemical,1
ADER,FLPR,chemical,4
ADER,IL1R,chemical,1
ADER,IL2R,chemical,1
ADER,MDR04,chemical,1
ADER,OLLR,chemical,3
ADER,RIAR,chemical,1
ADER,RIGL,chemical,12
ADER,RIGR,chemical,11
ADER,RMDL,chemical,1
ADER,RMDR,chemical,6
ADER,RMGR,chemical,5
ADER,SMDVR,chemical,1
ADER,URBR,chemical,1
ADER,URXR,chemical,2
ADFL,ADAL,chemical,2
ADFL,ADLL,chemical,1
ADFL,AFDL,chemical,1
ADFL,AIAL,chemical,2
ADFL,AIBL,chemical,2
ADFL,AIBR,chemical,1
ADFL,AIZL,chemical,39
ADFL,AUAL,chemical,12
ADFL,AWBL,chemical,2
ADFL,AWCR,chemical,2
ADFL,RIAL,chemical,46
ADFL,RIBL,chemical,4
ADFL,RIGL,chemical,4
ADFL,RIGR,chemical,1
ADFL,RIR,chemical,4
ADFL,RIVL,chemical,1
ADFL,SMBDL,chemical,1
ADFL,SMBVL,chemical,9
ADFL,SMDVL,chemical,1
ADFL,URXL,chemical,1
ADFR,ADAR,chemical,4
ADFR,ADFR,chemical,1
ADFR,AFDR,chemical,1
ADFR,AIYR,chemical,2
ADFR,AIZR,chemical,37
ADFR,ASHR,chemical,6
ADFR,AUAR,chemical,9
ADFR,AVHL,chemical,1
ADFR,AWAR,chemical,1
ADFR,AWBR,chemical,4
ADFR,AWCR,chemical,1
ADFR,BAGL,chemical,6
ADFR,OLQVR,chemical,1
ADFR,PVPR,chemical,1
ADFR,RIAR,chemical,61
ADFR,RIGR,chemical,24
ADFR,RIH,chemical,2
ADFR,RIR,chemical,7
ADFR,SMBDR,chemical,2
ADFR,SMBVR,chemical,19
ADFR,URXR,chemical,10
ADFR,URYVR,chemical,2
ADLL,ADAL,chemical,1
ADLL,AIAL,chemical,19
ADLL,AIBL,chemical,26
ADLL,ALA,chemical,5
ADLL,ASEL,chemical,1
ADLL,ASER,chemical,12
ADLL,ASGL,chemical,2
ADLL,ASHL,chemical,6
ADLL,AVAL,chemical,9
ADLL,AVAR,chemical,5
ADLL,AVBL,chemical,12
ADLL,AVDL,chemical,4
ADLL,AVDR,chemical,15
ADLL,AVJL,chemical,3
ADLL,AVJR,chemical,9
ADLL,AWAL,chemical,1
ADLL,AWBL,chemical,3
ADLL,AWCL,chemical,2
ADLL,OLQVL,chemical,2
ADLL,RIAL,chemical,1
ADLL,RIGL,chemical,1
ADLL,RIPL,chemical,3
ADLL,RIR,chemical,1
ADLL,SMBVL,chemical,5
ADLR,ADAR,chemical,1
ADLR,ADLR,chemical,3
ADLR,AIAR,chemical,22
ADLR,AIBR,chemical,27
ADLR,ASER,chemical,2
ADLR,ASHR,chemical,4
ADLR,AVAR,chemical,8
ADLR,AVBL,chemical,3
ADLR,AVBR,chemical,7
ADLR,AVDL,chemical,26
ADLR,AVDR,chemical,3
ADLR,AVJL,chemical,2
ADLR,AVJR,chemical,3
ADLR,AWCR,chemical,7
ADLR,CEPVR,chemical,1
ADLR,OLLR,chemical,1
ADLR,OLQVR,chemical,1
ADLR,PVCL,chemical,3
ADLR,RICL,chemical,1
ADLR,RICR,chemical,5
ADLR,RIFR,chemical,2
ADLR,RIPR,chemical,2
ADLR,SIBVL,chemical,2
ADLR,SMBVR,chemical,5
ADLR,URBR,chemical,6
ADLR,URXR,chemical,8
AFDL,AFDL,chemical,1
AFDL,AIBL,chemical,1
AFDL,AINR,chemical,3
AFDL,AIYL,chemical,25
AFDL,ASEL,chemical,1
AFDL,ASER,chemical,1
AFDL,AWBL,chemical,4
AFDR,AFDL,chemical,1
AFDR,AIYR,chemical,29
AFDR,ASEL,chemical,1
AFDR,ASER,chemical,4
AIAL,ADAL,chemical,1
AIAL,ADFL,chemical,2
AIAL,ADLL,chemical,1
AIAL,AIBL,chemical,35
AIAL,AIML,chemical,6
AIAL,AIZL,chemical,4
AIAL,ASEL,chemical,5
AIAL,ASER,chemical,10
AIAL,ASGL,chemical,1
AIAL,ASHL,chemical,1
AIAL,ASJL,chemical,4
AIAL,ASKL,chemical,9
AIAL,AWCL,chemical,1
AIAL,AWCR,chemical,6
AIAL,PVQL,chemical,1
AIAL,RIFL,chemical,10
AIAL,RIR,chemical,2
AIAL,RMGL,chemical,2
AIAR,ADAR,chemical,4
AIAR,ADLR,chemical,10
AIAR,AIAR,chemical,1
AIAR,AIBR,chemical,33
AIAR,AIZR,chemical,2
AIAR,ASER,chemical,5
AIAR,ASGR,chemical,5
AIAR,ASIR,chemical,2
AIAR,ASKR,chemical,1
AIAR,AWAR,chemical,4
AIAR,AWCL,chemical,6
AIAR,AWCR,chemical,6
AIAR,RIFR,chemical,10
AIBL,AIBL,chemical,2
AIBL,AIZR,chemical,7
AIBL,ASHL,chemical,1
AIBL,ASHR,chemical,3
AIBL,AVAL,chemical,5
AIBL,AVBL,chemical,21
AIBL,AVEL,chemical,1
AIBL,FLPL,chemical,1
AIBL,RIBR,chemical,16
AIBL,RIFL,chemical,1
AIBL,RIGR,chemical,5
AIBL,RIML,chemical,1
AIBL,RIMR,chemical,56
AIBL,RMFR,chemical,6
AIBL,SAADL,chemical,6
AIBL,SAADR,chemical,10
